"first_name","last_name","company_name","address","city","province","postal","phone1","phone2","email","web"
"Corrie","Kardell","Lynch, Steven J Esq","75 Westchester Ave","Pierrefonds","QC","H9J 1W6","514-203-7817","514-329-4482","corrie_kardell@aol.com","http://www.lynchstevenjesq.com"
"Kimberely","Rabuse","Carey, Paul D Esq","89 W 35th St #1","Windsor","ON","N8S 3R1","519-912-5533","519-814-7675","kimberely.rabuse@cox.net","http://www.careypauldesq.com"
"Tish","Violett","Electro Arc Manufacturing Co","1 Norris Ave #4095","Laval","QC","H7W 5K7","450-840-7605","450-571-7613","tish.violett@violett.com","http://www.electroarcmanufacturingco.com"
"Hollis","Stanfield","Feehan Plumbing & Heating","5174 Interstate 45 N","Yellowhead County","AB","T7E 3A7","780-574-5620","780-994-8693","hollis.stanfield@aol.com","http://www.feehanplumbingheating.com"
"Andree","Christmann","Easton Cooperative Bank","765 Rock Island Rd","Strathroy","ON","N7G 3K6","519-872-6826","519-648-4096","andree.christmann@cox.net","http://www.eastoncooperativebank.com"
"Lyla","Fucillo","Hambro Forest Products Inc","7979 33  191","North River","NS","B6L 6N1","902-844-1174","902-727-6846","lyla_fucillo@cox.net","http://www.hambroforestproductsinc.com"
"Felton","Yafuso","Penkava, Robert Md","202 Madison Ave","Ottawa","ON","K1Y 1M2","613-749-1169","613-603-5671","felton.yafuso@gmail.com","http://www.penkavarobertmd.com"
"Dell","Polino","Saint John Neumann Nurse Home","56 Corporate Dr","Becancour","QC","G9H 1H7","819-255-1725","819-960-7659","dell_polino@polino.com","http://www.saintjohnneumannnursehome.com"
"Nohemi","Leko","Bohne, Karl W Jr","37 Us Highway 12e E #6","Sault Ste. Marie","ON","P6C 2C8","705-838-9265","705-876-8353","nohemi@aol.com","http://www.bohnekarlwjr.com"
"Tambra","Lembke","Moore, Albert F Esq","6734 W Jackson Blvd","Salmon Arm","BC","V1E 4G9","250-353-7479","250-437-2898","tlembke@lembke.org","http://www.moorealbertfesq.com"
"Vicki","Maikoksoong","George Bigham & Associates","7 Tomahawk Dr","Richmond","BC","V7A 3N1","604-231-6180","604-518-2078","vicki@gmail.com","http://www.georgebighamassociates.com"
"Renato","Airhart","Super 8 Motel","1 Vernon Blvd","Calgary","AB","T2A 2H9","403-444-2250","403-232-4114","renato_airhart@hotmail.com","http://www.supermotel.com"
"Lenita","Darbro","Ball, David S","2726 Franklin Hill Rd","Vernon","BC","V1T 7V8","250-749-4517","250-607-3667","lenita@yahoo.com","http://www.balldavids.com"
"Barney","Hagen","Fox Vision Center","6335 Fort Myer Dr","Saint-Hyacinthe","QC","J2S 2N3","450-526-5424","450-755-7626","barney@yahoo.com","http://www.foxvisioncenter.com"
"Matthew","Armacost","Livingston & Schneider Pc","220 Old Us Highway 441","Peterborough","ON","K9H 6C3","705-417-7221","705-937-7391","matthew_armacost@gmail.com","http://www.livingstonschneiderpc.com"
"Belen","Nelton","A Peter Howell Pc","77 Central Pky N","Quesnel","BC","V2J 1N4","250-768-5812","250-801-3234","bnelton@gmail.com","http://www.apeterhowellpc.com"
"Iesha","Wardle","Honker Cut Marine","781 Alabama Ave","Etobicoke","ON","M8Z 2C1","416-989-2001","416-615-4957","iesha@gmail.com","http://www.honkercutmarine.com"
"Francesco","Sarchet","Gabriel & Associates","22 Dearborn St","Regina","SK","S4T 4B1","306-524-4509","306-353-2821","francesco@hotmail.com","http://www.gabrielassociates.com"
"Paulene","Rhule","Beck Corporation","21 E 64th Ave","Matane","QC","G4W 3G6","418-348-2107","418-378-2652","paulene_rhule@rhule.org","http://www.beckcorporation.com"
"Carole","Hughlett","Kolodny, Howard Esq","9 N Central Ave","Abbotsford","BC","V2S 5R3","604-262-8556","604-598-8225","carole_hughlett@hughlett.com","http://www.kolodnyhowardesq.com"
"Miss","Dunning","Mcgladrey & Pullen","38 Douglas Rd E #39","Regina","SK","S4R 1J5","306-508-8874","306-844-7974","mdunning@gmail.com","http://www.mcgladreypullen.com"
"Elfrieda","Hinsch","Y 105 Kgfy","4929 Sidney St #8276","Vernon","BC","V1T 4A3","250-454-9384","250-243-5520","elfrieda_hinsch@hinsch.org","http://www.ykgfy.com"
"Edelmira","Calzado","Chagrin Wine & Beverage Co","4936 Walcott Rd","Regina","SK","S4R 3M1","306-611-7185","306-432-3860","edelmira@hotmail.com","http://www.chagrinwinebeverageco.com"
"Jaime","Wasurick","Lewis, George L Esq","6760 E Fayette St #9","Saint-Damien","QC","J0K 2N1","450-531-8633","450-988-2708","jaime_wasurick@hotmail.com","http://www.lewisgeorgelesq.com"
"Lera","Hua","York Services Landscpg Divsn","6638 S Webster St #491","Miramichi","NB","E1V 2N4","506-556-4300","506-802-9529","lhua@aol.com","http://www.yorkserviceslandscpgdivsn.com"
"Jame","Mastro","Janney Montgomery Scott Inc","4465 James St","Kitchener","ON","N2N 1Y6","519-920-7003","519-719-2960","jmastro@aol.com","http://www.janneymontgomeryscottinc.com"
"Jillian","Hailstone","Global Securities Info Inc","8721 Everett Rd","Mississauga","ON","L4Z 2V7","905-864-2257","905-995-7113","jhailstone@yahoo.com","http://www.globalsecuritiesinfoinc.com"
"Louis","Zarling","Dealers Mfg Co","6 E Kingsbridge Rd","Stoneham-Et-Tewkesbury","QC","G3C 2A8","418-568-3216","418-396-2430","louis@zarling.com","http://www.dealersmfgco.com"
"Emmett","Mcshaw","Yaffa, Michael Esq","920 Union Blvd","Sault Ste. Marie","ON","P6B 5Y2","705-581-1220","705-779-8510","emmett_mcshaw@cox.net","http://www.yaffamichaelesq.com"
"Tammy","Sams","Photos Inc","5 Secaucus Rd","Nanaimo","BC","V9R 5W6","250-226-1002","250-625-6517","tammy_sams@sams.com","http://www.photosinc.com"
"Willis","Wylie","Acquired Knowledge Inc","646 9th St","Saint-Raymond","QC","G3L 3X9","418-833-1949","418-933-6430","willis@yahoo.com","http://www.acquiredknowledgeinc.com"
"Maxima","Brzozowski","B Js Body Shop","864 Aupuni St","St Catharines","ON","L2T 2V2","905-569-6732","905-595-2866","mbrzozowski@aol.com","http://www.bjsbodyshop.com"
"Boris","Latif","Emlou Boutique","9390 Fortin Dr","Quebec","QC","G1M 2H8","418-459-4884","418-668-9068","boris.latif@latif.com","http://www.emlouboutique.com"
"Salina","Knavel","Schiller & Osbourn","4 Newark St","Arnprior","ON","K7S 2G8","613-280-7170","613-942-9083","salina.knavel@gmail.com","http://www.schillerosbourn.com"
"Justa","Dini","Superior Coffee & Foods","8 J St","Vernon","BC","V1T 6J8","250-982-9377","250-460-8500","justa.dini@hotmail.com","http://www.superiorcoffeefoods.com"
"Amalia","Wolfgang","Knutson, Becky S Esq","394 Dice Rd #861","Windsor","ON","N8N 3V8","519-219-3608","519-885-5104","amalia_wolfgang@wolfgang.org","http://www.knutsonbeckysesq.com"
"Felix","Tutterrow","Corinth Dry Cleaners","92 W 39th St #9990","London","ON","N6G 3E5","519-426-7161","519-845-2626","ftutterrow@tutterrow.org","http://www.corinthdrycleaners.com"
"Eura","Mcglocklin","Graphic Color Litho Inc","9 N Monroe St","Lloydminster","SK","S9V 0C6","306-979-2571","306-813-8269","eura@mcglocklin.org","http://www.graphiccolorlithoinc.com"
"Lang","Heuring","Hill Realty Property Mgmt","2 Global Rd","Cambridge","ON","N1R 2X2","519-985-7311","519-864-3447","lang@cox.net","http://www.hillrealtypropertymgmt.com"
"Agustin","Lakatos","Thrasher, John E Esq","23 E Wacker Dr #64","Becancour","QC","G9H 4T4","819-365-5394","819-820-9025","agustin.lakatos@hotmail.com","http://www.thrasherjohneesq.com"
"Jaime","Lowrance","Sams Liquor & Deli","1 Nw 167th St","Winnipeg","MB","R3J 2Z1","204-438-6204","204-941-5253","jaime.lowrance@lowrance.org","http://www.samsliquordeli.com"
"Carman","Gudiel","Weiss, Martin Esq","1 Frontage Rd","St. Johns","NL","A1B 5B3","709-366-8943","709-882-9189","carman@gmail.com","http://www.weissmartinesq.com"
"Argelia","Hofbauer","Medical Productions","5 Columbia","North Vancouver","BC","V7J 2J9","604-823-2881","604-904-3459","argelia.hofbauer@cox.net","http://www.medicalproductions.com"
"Mammie","Cisney","Arellano, Cecilia S Md","14 E 30th St","Montreal","QC","H1E 1R4","514-205-4258","514-841-9635","mammie@cox.net","http://www.arellanoceciliasmd.com"
"Rashad","Menino","World Sign Associates","8 Commercial Ave","Carleton Place","ON","K7C 2T3","613-697-2555","613-841-5430","rashad.menino@menino.com","http://www.worldsignassociates.com"
"Janna","Bastain","Hastings, Robert R Jr","41 Drive  Hwy 54s S","Vancouver","BC","V6N 3C5","604-575-7837","604-519-7671","janna@bastain.com","http://www.hastingsrobertrjr.com"
"Callie","Neikirk","Shields, Sheridn Cpa","6601 Park Ave #9924","Mississauga","ON","L4T 0A1","905-465-6909","905-894-7244","callie.neikirk@neikirk.org","http://www.shieldssheridncpa.com"
"Coral","Helmcamp","Hepco Inc","4184 E 142nd St","Toronto","ON","M5V 0B4","416-589-6075","416-469-6933","coral.helmcamp@helmcamp.org","http://www.hepcoinc.com"
"Xenia","Mushero","Institute For Law & Jstc Inc","1 El Camino Ave #39","Kingston","ON","K7K 1P6","613-714-1829","613-877-4457","xenia@aol.com","http://www.instituteforlawjstcinc.com"
"Adelle","Nitcher","John J Mccarthy Agency Inc","10 Midway Dr","Thorold","ON","L2V 5C7","905-998-3758","905-848-6892","anitcher@aol.com","http://www.johnjmccarthyagencyinc.com"
"Hildegarde","Wehrwein","Ocean State Rental Corp","2 Cottman Ave","West Vancouver","BC","V7T 1R7","604-960-7463","604-475-5636","hwehrwein@gmail.com","http://www.oceanstaterentalcorp.com"
"Phuong","Sugai","Scholtes, William E Esq","8926 E 119th St #9","Lavaltrie","QC","J5T 2C7","450-501-4406","450-760-5225","psugai@gmail.com","http://www.scholteswilliameesq.com"
"Leontine","Lafoy","Caffrey, John F Esq","191 Richland St #5","Quebec","QC","G1J 4B2","418-271-8667","418-975-7693","llafoy@aol.com","http://www.caffreyjohnfesq.com"
"Darell","Mcalarney","Janney Montgomery Scott Inc","8 E 92nd St","Ajax","ON","L1S 6V3","905-846-7737","905-741-3908","darell_mcalarney@mcalarney.com","http://www.janneymontgomeryscottinc.com"
"Madonna","Landman","Brown, Glenn Esq","283 Andover St","Castlegar","BC","V1N 3P7","250-307-7698","250-281-5616","madonna.landman@landman.com","http://www.brownglennesq.com"
"Chuck","Berggren","Weyerhaeuser Paper Co","764 Louisville Plac","St. Johns","NL","A1E 2L8","709-534-6576","709-374-6188","chuck@gmail.com","http://www.weyerhaeuserpaperco.com"
"Gregg","Epperheimer","Best Western Sterling House","59 W Jackson Blvd #11","Lasalle","QC","H8R 3T2","514-302-4158","514-293-8889","gepperheimer@aol.com","http://www.bestwesternsterlinghouse.com"
"Yan","Bubrig","Database Programming & Design","712 N 5th St","Grand Manan","NB","E5G 1L1","506-493-4894","506-822-2002","yan@cox.net","http://www.databaseprogrammingdesign.com"
"Stephanie","Garlett","Brown Shoe Co","6 L St #1761","Kanata","ON","K2T 1G5","613-557-7338","613-998-1215","stephanie.garlett@gmail.com","http://www.brownshoeco.com"
"Alberto","Stenquist","Dowell Associates Inc","6126 E 14th St #6","St Catharines","ON","L2N 6C7","905-435-9456","905-433-2538","alberto_stenquist@stenquist.org","http://www.dowellassociatesinc.com"
"Wayne","Shivers","Ram Page","865 Ponce De Leon Blvd","Chicoutimi","QC","G7H 6A2","418-374-1965","418-323-3965","wayne@aol.com","http://www.rampage.com"
"Kristal","Bothe","L A Kennedy Inc","896 Pershing Ave","Paradise","NL","A1L 2Y8","709-976-5766","709-937-7068","kristal@hotmail.com","http://www.lakennedyinc.com"
"Florencia","Stadel","Cornwell, Michael C Esq","178 Riverdale Rd","Ingersoll","ON","N5C 2W2","519-961-7871","519-283-2137","fstadel@gmail.com","http://www.cornwellmichaelcesq.com"
"Darrin","Tumolillo","Metro Press","4 Pedretti Ave #2","Saskatoon","SK","S7H 1X9","306-748-5721","306-438-8135","darrin@tumolillo.com","http://www.metropress.com"
"Freeman","Rudig","Ramsey Secretarial Service","4 W Sedgley Ave","Otterburn Park","QC","J3H 4V8","450-347-6388","450-586-7429","freeman@yahoo.com","http://www.ramseysecretarialservice.com"
"Lazaro","Mollison","United Drilling Inc","31 E Middlefield Rd #8555","Beloeil","QC","J3G 3J4","450-356-6427","450-270-3903","lazaro@gmail.com","http://www.uniteddrillinginc.com"
"Ellsworth","Rieg","Peyote Bird Designs","7662 Us Highway 46 #9003","Napanee","ON","K7R 1K5","613-862-4724","613-414-6589","erieg@hotmail.com","http://www.peyotebirddesigns.com"
"Brinda","Mrkvicka","Gittleman Muhlstock","1 Park Ave","Newbridge","NB","E7N 1J4","506-392-8334","506-912-9599","brinda.mrkvicka@gmail.com","http://www.gittlemanmuhlstock.com"
"Florinda","Mackedanz","Hoyt, Robert F Esq","2782 Midland Ave","Dieppe","NB","E1A 8X6","506-230-8075","506-590-6765","florinda_mackedanz@mackedanz.org","http://www.hoytrobertfesq.com"
"Nadine","Swartzbeck","Contact Enterprises","3 Federal Blvd","Beloeil","QC","J3G 4M4","450-353-2331","450-552-2449","nadine_swartzbeck@swartzbeck.org","http://www.contactenterprises.com"
"Arlette","Torchio","A All In One Construction","485 Rolling Rd","Lasalle","QC","H8R 3C2","514-459-6883","514-330-7587","arlette_torchio@hotmail.com","http://www.aallinoneconstruction.com"
"Adolph","Krivanec","Sas Rubber Inc","6605 Federal St","Etobicoke","ON","M8Y 3L6","416-736-1436","416-293-9664","akrivanec@hotmail.com","http://www.sasrubberinc.com"
"Georgiana","Colbath","Stewart Filmscreen Corp","505 E 9mile Rd","Sainte-Therese","QC","J7E 3C9","450-409-1254","450-825-8316","gcolbath@hotmail.com","http://www.stewartfilmscreencorp.com"
"Rana","Lehn","Freeman, Steven R Esq","32 Rocklyn Ave","Milton","ON","L9T 5W8","905-286-8285","905-602-1487","rlehn@yahoo.com","http://www.freemanstevenresq.com"
"Chi","Morgan","Holmes, Armstead J Esq","2953 5th Ave #27","Saint-Raymond","QC","G3L 3K2","418-922-5578","418-327-9560","chi@gmail.com","http://www.holmesarmsteadjesq.com"
"Starr","Prothro","Gs Roofing Company","133 Us Highway 206","Chicoutimi","QC","G7H 4M5","418-811-3750","418-867-8129","sprothro@prothro.com","http://www.gsroofingcompany.com"
"Glennis","Roseum","York Services Landscpg Divsn","1 Pershing Ave","Brandon","MB","R7A 4C6","204-514-9319","204-206-2818","glennis.roseum@gmail.com","http://www.yorkserviceslandscpgdivsn.com"
"Thea","Petermeier","Anderson Heather Zane","402 Santa Isabel Ave","Sept-Iles","QC","G4S 1Z5","418-360-6739","418-579-7203","thea@hotmail.com","http://www.andersonheatherzane.com"
"Rosalind","Persechino","Grand Prairie Chamber Commrce","86 Shady Run Rd","Kanata","ON","K2M 1E6","613-975-5760","613-310-5882","rosalind.persechino@aol.com","http://www.grandprairiechambercommrce.com"
"Shenika","Tapian","Helco Sales Co","4 Collier Rd Nw","Ottawa","ON","K1S 1N5","613-219-1869","613-639-9327","shenika.tapian@aol.com","http://www.helcosalesco.com"
"Veta","Vandeberg","Rickard, Deborah S","940 E Jefferson Ave","Juniper","NB","E7L 1G1","506-996-1241","506-589-3482","vvandeberg@gmail.com","http://www.rickarddeborahs.com"
"Herschel","Geneseo","Molded Dimensions Inc","7753 W 8th","Toronto","ON","M4V 1Y3","416-786-7887","416-325-4082","herschel@geneseo.com","http://www.moldeddimensionsinc.com"
"Dianne","Tomasic","Samios, Gus Esq","53 6  17 M At Bradleys","Dartmouth","NS","B2Y 3L2","902-938-6891","902-250-5089","dianne@yahoo.com","http://www.samiosgusesq.com"
"Micah","Gerten","Fairfield Inn","103 Madison Ave","St. Johns","NL","A1E 2J5","709-581-5842","709-472-4405","micah@cox.net","http://www.fairfieldinn.com"
"Kaycee","Alaibilla","A & H Sptc Systems & Matl Inc","8788 E 64th Ave","Vancouver","BC","V6R 1N3","604-992-6045","604-609-6898","kaycee.alaibilla@yahoo.com","http://www.ahsptcsystemsmatlinc.com"
"Tesha","Brang","Butler Tool & Design Inc","831 Vanowen St #5","Montreal","QC","H4K 2N2","514-432-5290","514-232-9502","tesha@aol.com","http://www.butlertooldesigninc.com"
"Marya","Chhour","Auchter Industrial Vac Inc","661 Pitkin Ave","Calgary","AB","T3Z 3S8","403-382-4146","403-980-7897","marya@cox.net","http://www.auchterindustrialvacinc.com"
"Ronnie","Kettelle","Pure Wtr Inc Wrldwd Corprt","3 Avenue Rt 295 #199","Halifax","NS","B3H 1M2","902-367-7042","902-331-8779","ronnie_kettelle@aol.com","http://www.purewtrincwrldwdcorprt.com"
"Mabel","Fower","Swartz, John L Esq","709 W Waters Ave","Chicoutimi","QC","G7H 3T5","418-339-7473","418-795-6863","mabel_fower@fower.com","http://www.swartzjohnlesq.com"
"Harley","Works","Alliance Construction Co Inc","27 Spring St","Woodstock","ON","N4S 2K1","519-913-7772","519-633-3173","harley@cox.net","http://www.allianceconstructioncoinc.com"
"Joye","Nedman","Valley Credit Union","9 Court St","Regina","SK","S4N 3J4","306-991-3698","306-775-6775","joye@cox.net","http://www.valleycreditunion.com"
"Luisa","Harnish","Level Export Sales Corp","82 Westminster Blvd","Vancouver","BC","V5X 2B5","604-399-1449","604-967-7334","lharnish@harnish.com","http://www.levelexportsalescorp.com"
"Stacey","Lortz","Electrical Workers Unon Ibew","5039 Coffee Rd","Scarborough","ON","M1K 1H4","416-310-1610","416-753-5069","stacey_lortz@aol.com","http://www.electricalworkersunonibew.com"
"Reyes","Mesmer","Richardson, David J Esq","9 E Thayer Ave #3","Hamilton","ON","L8S 2N1","905-402-9203","905-297-5980","reyes@mesmer.org","http://www.richardsondavidjesq.com"
"Avery","Demus","Carriage House Cllsn Rpr Inc","1 Highland Ave","Maple Ridge","BC","V4R 1Z3","604-548-4412","604-855-5368","avery.demus@aol.com","http://www.carriagehousecllsnrprinc.com"
"Colby","Scotts","Mass Human Services Coalition","7 E 1st St","Barrie","ON","L4N 3M9","705-668-5094","705-288-6886","cscotts@aol.com","http://www.masshumanservicescoalition.com"
"Afton","Wrinkle","Super 8 Motel","652 5th Ave","Ottawa","ON","K1N 6S5","613-851-7883","613-887-9528","awrinkle@wrinkle.org","http://www.supermotel.com"
"India","Sifford","Fashion Shop & Save","162 Sunrise Plz","Toronto","ON","M5N 1J1","416-866-6707","416-539-4631","isifford@sifford.org","http://www.fashionshopsave.com"
"Brunilda","Coin","Young Contractors Inc","300 Congers Rd #77","Saint-Paul","NB","E4T 3B9","506-327-7460","506-881-6523","brunilda_coin@aol.com","http://www.youngcontractorsinc.com"
"Jenifer","Emanuel","Bambrickv, Timothy F Esq","78 152nd Ave #4179","Duncan","BC","V9L 4G2","250-947-2063","250-845-8934","jemanuel@emanuel.com","http://www.bambrickvtimothyfesq.com"
"Makeda","Nosis","Lloyds Screenprinting","956 Sierra Ave","Toronto","ON","M5K 1A1","416-827-4082","416-523-2691","makeda.nosis@yahoo.com","http://www.lloydsscreenprinting.com"
"Vivan","Oppy","Record Journal","4696 Alewa Dr","Swift Current","SK","S9H 3S9","306-325-3090","306-606-8869","voppy@gmail.com","http://www.recordjournal.com"
"Eric","Gazzola","Moriah Fund Inc","732 Congress St","Saint-Georges","QC","G5Z 0N4","418-274-7373","418-389-1370","eric@cox.net","http://www.moriahfundinc.com"
"Thersa","Davirro","Herstein, Elliot J","863 E Mcdowell Rd","Kamloops","BC","V2C 6S8","250-540-5275","250-359-4646","thersa.davirro@aol.com","http://www.hersteinelliotj.com"
"Mindy","Presnal","Gavin, William H Esq","82 Us Highway 111","Vancouver","BC","V5X 3K2","604-213-8721","604-936-4293","mpresnal@yahoo.com","http://www.gavinwilliamhesq.com"
"Luis","Metzner","Hyman And Lippitt","8868 S Arroyo Pkwy #996","Trois-Rivieres","QC","G8V 2J6","819-860-8913","819-747-5807","lmetzner@metzner.org","http://www.hymanandlippitt.com"
"Dawne","Mcloud","Bridger Scientific Inc","25 Keystone Xing","Stoney Creek","ON","L8E 2E4","905-760-9649","905-999-2576","dmcloud@cox.net","http://www.bridgerscientificinc.com"
"Karrie","Kinikini","Lohmeyer Corrigan Taylor Pc","491 Main St #893","Kamloops","BC","V2B 7X9","250-384-7658","250-661-6367","karrie_kinikini@kinikini.org","http://www.lohmeyercorrigantaylorpc.com"
"Mozelle","Hermon","Comfort Inn Of Lincoln","523 Spencerville Ct","Mount Pisgah","NB","E4G 1E8","506-573-3112","506-834-4114","mozelle_hermon@cox.net","http://www.comfortinnoflincoln.com"
"Mila","Hair","Bobby Reed Attorney At Law","515 S Main St","Saint-Leonard","QC","H1P 1M8","514-945-2978","514-363-9034","mhair@cox.net","http://www.bobbyreedattorneyatlaw.com"
"Gilma","Jefferys","Celestin Design Centre","147 E Centre St","Halifax","NS","B3H 4E1","902-804-8543","902-756-4703","gjefferys@aol.com","http://www.celestindesigncentre.com"
"Armanda","Mcduffie","Voils, Otis V","989 Wyatt Dr #7","Cowansville","QC","J2K 2M6","450-866-7181","450-681-1613","armanda.mcduffie@hotmail.com","http://www.voilsotisv.com"
"Vonda","Normandeau","Crisell Cohee & Co","9891 Main St","Mirabel","QC","J7J 1G7","450-706-3809","450-473-8682","vonda@yahoo.com","http://www.crisellcoheeco.com"
"Truman","Mondale","Metz, Roger E Esq","1657 N Green St","Peterborough","ON","K9J 0A1","705-757-7389","705-234-5820","truman.mondale@aol.com","http://www.metzrogereesq.com"
"Elvis","Tenuta","Beloit Boxboard Co","6437 Date Palm Dr","Calgary","AB","T2B 0X5","403-415-1285","403-329-4641","elvis_tenuta@tenuta.org","http://www.beloitboxboardco.com"
"Loise","Dedaj","Magnotta Construction Co Inc","1062 Rd","Saskatoon","SK","S7K 5J3","306-964-9291","306-310-4288","loise@aol.com","http://www.magnottaconstructioncoinc.com"
"Jannette","Pedder","Reif, W Michael Esq","73 Madison Ave","Vancouver","BC","V6L 2V9","604-953-5335","604-889-3061","jpedder@pedder.com","http://www.reifwmichaelesq.com"
"Margo","Rand","Muscle Bound Bindery","344 Lyndon St","Concord","ON","L4K 1J7","905-781-3868","905-855-2524","margo@rand.org","http://www.muscleboundbindery.com"
"Dahlia","Benett","Doco School Empl Fed Crdt Un","3986 Home Life","Alma","QC","G8B 1K7","418-344-9993","418-720-5596","dahlia_benett@aol.com","http://www.docoschoolemplfedcrdtun.com"
"Dominga","Mckeon","Scott & Murphy Inc","68 Dd N #1","Trois-Rivieres","QC","G8T 7G3","819-627-1581","819-974-1149","dominga_mckeon@yahoo.com","http://www.scottmurphyinc.com"
"Hollis","Keomuangtai","Amsterdam News","27 7th St","Keswick","ON","L4P 1V3","905-928-5294","905-356-3061","hollis.keomuangtai@cox.net","http://www.amsterdamnews.com"
"Carry","Ziller","Hatboro Delivery Service","8 Maynesboro St","Strathroy","ON","N7G 3H9","519-847-8783","519-902-8276","carry@cox.net","http://www.hatborodeliveryservice.com"
"Bong","Fears","Cabot Safety Corp Aorx Center","7 State St #1","Pierrefonds","QC","H9H 3C8","514-308-1992","514-798-2801","bfears@fears.org","http://www.cabotsafetycorpaorxcenter.com"
"Yolande","Staiano","Williams Jamal Ltd","21 N 14th St","Orleans","ON","K1C 3C7","613-700-7712","613-896-1928","yolande_staiano@gmail.com","http://www.williamsjamalltd.com"
