"first_name","last_name","company_name","address","city","province","postal","phone1","phone2","email","web"
"Delsie","Cerao","Bacompt","2 Us Highway 206","English Settlement","NB","E6B 2J9","506-795-5209","506-336-7043","delsie.cerao@cerao.org","http://www.bacompt.com"
"Mabel","Elmquist","Tarkett Inc","8570 E 8th St","Winnipeg","MB","R2K 0Y2","204-285-3978","204-272-6023","mabel_elmquist@elmquist.com","http://www.tarkettinc.com"
"Marnie","Purslow","Century 21 Twin Oaks Rlty Inc","3068 N Interstate 35","Winnipeg","MB","R2V 3G6","204-904-1386","204-501-8129","marnie.purslow@purslow.com","http://www.centurytwinoaksrltyinc.com"
"Rene","Granier","Cohen, Mortimer S Esq","4241 Tapp St","Calgary","AB","T3Z 1H1","403-438-9257","403-894-8420","rene@cox.net","http://www.cohenmortimersesq.com"
"Trevor","Harnist","Meraglio, Ruissell J Jr","99 Hart St","Dartmouth","NS","B2Y 1G7","902-782-2576","902-641-1009","trevor.harnist@hotmail.com","http://www.meraglioruisselljjr.com"
"Sharmaine","Batdorf","Stritzel Awning Svc","1822 Guilford Rd","Saint-Basile","NB","E7C 2L8","506-839-1630","506-707-6566","sharmaine_batdorf@batdorf.com","http://www.stritzelawningsvc.com"
"Ricki","Traux","Collins, Frederick H Esq","995 Concord Rd","Montreal","QC","H3J 1S4","514-657-1920","514-784-4720","ricki.traux@traux.com","http://www.collinsfrederickhesq.com"
"Bernadine","Shufelt","Mulligan, Thomas O Esq","3 Main St","Sudbury","ON","P3C 2X6","705-693-2982","705-715-3024","bernadine_shufelt@shufelt.org","http://www.mulliganthomasoesq.com"
"Shad","Reider","City Judge","7995 Douglas Rd E #6","Lloydminster","AB","T9V 2M7","780-953-3852","780-872-1107","shad_reider@aol.com","http://www.cityjudge.com"
"Kenneth","Degennaro","Dodson, Mac Pa","965 Bryant St","St Martins","NB","E5R 1G5","506-763-6456","506-220-8258","kenneth.degennaro@aol.com","http://www.dodsonmacpa.com"
"Marleen","Hennon","Welsch Metal Products Inc","2863 Brooklyn Terminal Mkt","Abbotsford","BC","V2S 4M2","604-545-3662","604-469-6870","marleen_hennon@aol.com","http://www.welschmetalproductsinc.com"
"Joaquin","Geitner","Cellular One","6410 E State Hwy","Calgary","AB","T2K 4M8","403-640-8755","403-999-6332","joaquin_geitner@cox.net","http://www.cellularone.com"
"Slyvia","Stockham","Finchers Findings","4895 Country Club Rd","Quebec","QC","G1K 5J8","418-913-7998","418-917-4111","slyvia.stockham@aol.com","http://www.finchersfindings.com"
"Kris","Bala","U S Tsubaki Inc","43 Gateway Blvd","Brampton","ON","L7A 2E8","905-848-5458","905-860-5785","kris_bala@gmail.com","http://www.ustsubakiinc.com"
"Gussie","Diflorio","Cliff Clarks Inc Sales & Serv","881 South St #4","Trenton","ON","K8V 1G7","613-857-7922","613-785-7152","gussie_diflorio@cox.net","http://www.cliffclarksincsalesserv.com"
"Lavelle","Lillywhite","Schivley, G Gregory","5 S Taylor Ave","La Malbaie","QC","G5A 2R8","418-442-4179","418-719-1723","lavelle.lillywhite@hotmail.com","http://www.schivleyggregory.com"
"Bev","Dermo","Nicks Printing","6059 Alewa Dr","Surrey","BC","V3X 1X5","604-880-6351","604-342-4113","bev.dermo@dermo.com","http://www.nicksprinting.com"
"Bette","Digiovanni","Nassar, Monique A Esq","345 Broadway St","London","ON","N6K 4J9","519-882-6434","519-206-1305","bette.digiovanni@digiovanni.org","http://www.nassarmoniqueaesq.com"
"Lajuana","Mccloud","Cesena Printg E Side Printg Co","7 W Pine St","Saint-Thomas","QC","J0K 3L0","450-272-6370","450-704-8629","lajuana_mccloud@hotmail.com","http://www.cesenaprintgesideprintgco.com"
"Shakira","Westervelt","Buena Clerk","5470 N Lamar Blvd #542","North Vancouver","BC","V7J 2J9","604-991-8721","604-514-6251","swestervelt@westervelt.org","http://www.buenaclerk.com"
"Matt","Nickolich","Bonina, John A Esq","103 E Main St #59","Regina","SK","S4S 5Y2","306-891-2346","306-464-9089","matt@gmail.com","http://www.boninajohnaesq.com"
"Clemencia","Momplaisir","Computer System Dynamics","698 N Allen Rd","Montreal","QC","H3J 2N8","514-804-3533","514-427-6426","cmomplaisir@yahoo.com","http://www.computersystemdynamics.com"
"Oliva","Ambert","Kleins Hallmark Cards","1 Broadway St","Dawson Settlement","NB","E4H 2B6","506-672-7328","506-593-5041","oambert@gmail.com","http://www.kleinshallmarkcards.com"
"Ranee","Maye","Construction Services Inc","5361 N 500 W #3065","Les Cedres","QC","J7T 3A9","450-700-5970","450-769-7974","ranee_maye@maye.com","http://www.constructionservicesinc.com"
"Ming","Eskew","Dickman, J Scott Esq","4153 Broughton Ave","Victoria","BC","V9A 6P6","250-228-6798","250-224-3850","ming_eskew@eskew.com","http://www.dickmanjscottesq.com"
"Annice","Peckens","Hering, Glenn Z Esq","5 Falls Rd","Victoria","BC","V8V 2P7","250-727-7309","250-459-4257","apeckens@peckens.org","http://www.heringglennzesq.com"
"Effie","Frymark","Razzoog, Michael E Dds","51 3rd Ave","London","ON","N5W 5G1","519-433-4142","519-589-2250","effie_frymark@gmail.com","http://www.razzoogmichaeledds.com"
"Maricela","Conger","Phase One Office Products","865 N Port Ave","Coquitlam","BC","V3E 1Y4","604-568-1899","604-930-7621","mconger@aol.com","http://www.phaseoneofficeproducts.com"
"Esteban","Plantenberg","Midwest Wheel Companies","78 E River","Surrey","BC","V4P 0C4","604-519-9547","604-747-2189","esteban@cox.net","http://www.midwestwheelcompanies.com"
"Doretha","Wykle","Lafave, E Joseph Iii","5106 N Laurel Park Dr","Kenora","ON","P9N 4E7","807-383-4855","807-878-5383","doretha@yahoo.com","http://www.lafaveejosephiii.com"
"Dorsey","Neitzke","Turley, Joseph M","9768 A Aven #112","Truro","NS","B2N 3P6","902-936-9426","902-336-1190","dorsey_neitzke@hotmail.com","http://www.turleyjosephm.com"
"Amie","Okuniewski","Motion Industries Inc","24 Venice Rd","Pembroke","ON","K8A 8M7","613-686-9039","613-257-6021","amie@yahoo.com","http://www.motionindustriesinc.com"
"Bulah","Berkoff","Balan Marketing Co","2497 Pennsylvania Ave","Strathroy","ON","N7G 3V5","519-309-5863","519-911-6087","bulah.berkoff@cox.net","http://www.balanmarketingco.com"
"Erin","Delbosque","Curtiss Wright Corp","357 W Mount Royal Ave","Longueuil","QC","J4M 2A8","450-316-7813","450-491-8703","erin@cox.net","http://www.curtisswrightcorp.com"
"Kassandra","Marushia","Phelps Tool & Die Co Inc","123 Euclid Ave #9396","Nanaimo","BC","V9R 1C9","250-646-6446","250-571-5058","kassandra@gmail.com","http://www.phelpstooldiecoinc.com"
"Leslee","Matsuno","Factory Mattress Outlet","1251 E Main St #990","Quebec","QC","G1H 1A6","418-460-5773","418-543-9015","leslee_matsuno@matsuno.org","http://www.factorymattressoutlet.com"
"Daniel","Dobler","Cosgroves N End Plbg & Hdwr Co","259 W 17th St #39","Beresford","NB","E8K 1B7","506-617-2607","506-951-8403","ddobler@dobler.com","http://www.cosgrovesnendplbghdwrco.com"
